カテゴリー,メニュー,コード,価格(円),おいしさ(1-5),安さ(1-5),人気度(1-5),Tier,image_url,image_search_url,備考
"前菜","辛味チキン","1401","300","4","4","5","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsnoH40xhx5RR3IqBym4SYrY3zevN_m7ke5ylpjq6Rv72AHdLw2FvKc6PC6_M&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E8%BE%9B%E5%91%B3%E3%83%81%E3%82%AD%E3%83%B3",""
"前菜","アロスティチーニ","1402","400","3","1","2","D","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEX1wjHLGX1dh0h5wvcDUwlV-E1ysrShEytqLrKs26AprYy-7oT7MetoRvaZg&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E3%82%A2%E3%83%AD%E3%82%B9%E3%83%86%E3%82%A3%E3%83%81%E3%83%BC%E3%83%8B",""
"前菜","ほうれん草のソテー","1403","200","4","4","4","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDiQ9Rhcj6sGKgshkTlniXKCH0v6iNo6t0tAO1ozmA8MDegA2kRNQ2FovNTQE&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E3%81%BB%E3%81%86%E3%82%8C%E3%82%93%E8%8D%89%E3%81%AE%E3%82%BD%E3%83%86%E3%83%BC",""
"前菜","ポップコーンシュリンプ","1404","300","3","2","1","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVvl-nrpQMCcnLVg8ZVtzc_rjO8TKvkBPDCTs3eAyMP2n0Eh448aR7fpwpzA&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E3%83%9D%E3%83%83%E3%83%97%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A5%E3%83%AA%E3%83%B3%E3%83%97",""
"前菜","エスカルゴのオーブン焼き","1405","400","5","2","3","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSosj03pjv7NpBzFkzi4y7MZ2GW9tdk7LRe1eSQ5td6dSmkuBm9cJfFZRE6Sw&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E3%82%A8%E3%82%B9%E3%82%AB%E3%83%AB%E3%82%B4+%E3%82%AA%E3%83%BC%E3%83%96%E3%83%B3%E7%84%BC%E3%81%8D",""
"前菜","小エビのカクテル","1406","280","2","2","3","C","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2UftSP6847EhPfzMkAgHhBPz2bJNDCotsiluQs_iqCOpiRzTAUymJpiVdqGo&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E5%B0%8F%E3%82%A8%E3%83%93%E3%81%AE%E3%82%AB%E3%82%AF%E3%83%86%E3%83%AB",""
"前菜","チョリソー","1407","400","4","2","3","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG1ceu4nHdV_6O5eqMYDIesQj_ERuEFEZuGklI5J_AGpdZtBjCGSQGRrlkOxs&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E3%83%81%E3%83%A7%E3%83%AA%E3%82%BD%E3%83%BC",""
"前菜","蒸し鶏の香味ソース","1408","280","3","2","3","C","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSjiz2_fWiChDWmD4svYyg3tUL6km_n8ZKgr9NOqv1GmVNqVOjdVwLB2wrHw&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E8%92%B8%E3%81%97%E9%B6%8F+%E9%A6%99%E5%91%B3%E3%82%BD%E3%83%BC%E3%82%B9",""
"前菜","ムール貝のガーリック焼き","1410","400","3","2","2","C","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxCwsYEQ8xWwc15h1gscoeXAH8WffOu1Uesu2aAUBMW54OjwDx93OKNLfrkw&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E3%83%A0%E3%83%BC%E3%83%AB%E8%B2%9D+%E3%82%AC%E3%83%BC%E3%83%AA%E3%83%83%E3%82%AF%E7%84%BC%E3%81%8D",""
"前菜","キャロットラペ","1413","200","1","1","1","D","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXvnRneGMl4az2o_QuAX-0eBmV4GgRJWy_LnqLMYtjKLp-SUSrGp-tKmbbzg&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E3%82%AD%E3%83%A3%E3%83%AD%E3%83%83%E3%83%88%E3%83%A9%E3%83%9A",""
